ID,SURFACE,ROUNDNESS,SHORT_AXIS,LONG_AXIS,VOLUME,PIXEL_SCALE
0,304.0,0.45301880237197756,6.6209448329019445,14.615165636029014,2012.767229202191,12.626
1,80.0,0.713808703364657,4.263448061135524,5.972816023451446,341.07584489084195,12.626
2,171.0,0.503280520725146,5.233933249599422,10.399634069004238,895.0025856815014,12.626
3,414.0,0.5652924983272282,8.6310144822309,15.268227524283732,3573.239995643592,12.626
4,96.0,0.7070732769155844,4.6482865415834205,6.573981358566274,446.2355079920083,12.626
5,82.0,0.5229303537494192,3.6944850674336496,7.064965804612662,302.9477755295593,12.626
6,309.0,0.3471233707182541,5.843139172837143,16.83303305319589,1805.5300044066769,12.626
7,171.0,0.4565025245063409,4.984765249409116,10.919469185410556,852.3948576489587,12.626
8,36.0,0.6288561166069523,2.684429228069354,4.2687494916220645,96.63945221049674,12.626
9,102.0,0.41564240439880923,3.673542543187555,8.838228497164568,374.70133940513057,12.626
10,56.0,0.4339951319217858,2.7813875491551334,6.408798957810413,155.75770275268746,12.626
11,325.0,0.2891277633227611,5.469046833466382,18.915675100219065,1777.440220876574,12.626
12,152.0,0.38318192031896725,4.3057554741939725,11.236844031184422,654.4748320774838,12.626
13,136.0,0.6396529322302705,5.262192307349379,8.226636730956196,715.6581537995155,12.626
14,80.0,0.42446955644136247,3.2877086999834297,7.745452294733897,263.0166959986744,12.626
15,143.0,0.693448915613772,5.618240408942188,8.1018807333046,803.408378478733,12.626
16,485.0,0.443102658528072,8.270811269146805,18.665677377385492,4011.3434655362007,12.626
17,38.0,0.37396266164254766,2.1268212115850775,5.687255519691429,80.81920604023294,12.626
18,41.0,0.5577706616920662,2.6980178927194363,4.837145583338259,110.61873360149688,12.626
19,48.0,0.6623739685552879,3.181246416424401,4.8027950484875745,152.69982798837125,12.626
20,25.0,0.5058061600347904,2.006259587090703,3.9664593783371647,50.15648967726758,12.626
21,52.0,0.371103324709019,2.4784157372460367,6.678505882935312,128.87761833679392,12.626
22,152.0,0.29478210088851237,3.7765689006546466,12.811391496537837,574.0384728995062,12.626
23,37.0,0.46218577224784235,2.333104609896262,5.047980162931452,86.32487056616169,12.626
24,251.0,0.41753349806282264,5.775739355426331,13.832996351725784,1449.710578212009,12.626
25,319.0,0.3534165178304024,5.990510406432442,16.95028416670431,1910.972819651949,12.626
26,20.0,0.7751838932939616,2.2214801230076704,2.8657459761812296,44.42960246015342,12.626
27,13.0,1.0792080554719363,2.1132424643132475,1.958141855593479,27.47215203607222,12.626
28,31.0,0.9347234913062522,3.0370188626449566,3.2491093792890564,94.14758474199365,12.626
29,33.0,0.6922300986255585,2.6965425212509366,3.8954424642976297,88.9859032012809,12.626
30,204.0,0.6261703530967451,6.376559230531881,10.183425642872438,1300.8180830285037,12.626
31,26.0,0.6581899481842668,2.333927495626219,3.5459786374203532,60.68211488628168,12.626
32,48.0,0.4556607503991636,2.6385570747480456,5.790617410950235,126.6507395879062,12.626
33,16.0,0.7629006985423094,1.9711472173230977,2.5837533260742984,31.538355477169567,12.626
34,19.0,0.8180170510807773,2.2242471477092027,2.7190718638083298,42.26069580647485,12.626
35,41.0,0.6952600515203633,3.0122473441885407,4.33254771017189,123.50214111173017,12.626
36,251.0,0.6348011459311979,7.121652449269452,11.218713915241297,1787.5347647666324,12.626
37,34.0,0.7530760107487507,2.854854170557938,3.7909243287666015,97.0650417989699,12.626
38,51.0,0.30993140418658605,2.2430706028928618,7.237313071838567,114.39660074753594,12.626
39,173.0,0.7032896521278993,6.223221070980124,8.848731176622485,1076.6172452795615,12.626
40,32.0,0.5788223279950306,2.4281342259091687,4.194956048637459,77.70029522909338,12.626
41,62.0,0.6082110042043553,3.46455966646399,5.696312040582415,214.8026993207674,12.626
42,30.0,0.8401961997226043,2.8325399734465653,3.371283962462274,84.97619920339696,12.626
43,41.0,0.8702541023314574,3.3700786125590945,3.872522523628987,138.17322311492288,12.626
44,73.0,0.5774695800699573,3.6631191859379726,6.34339766519685,267.407700573472,12.626
45,27.0,0.5623636558437919,2.1984448150248217,3.9092939100521904,59.358010005670195,12.626
46,40.0,0.5580559571500704,2.6655935789585423,4.776570422384579,106.6237431583417,12.626
47,39.0,0.5512941354316914,2.616068150224505,4.745321929056965,102.02665785875568,12.626
48,13.0,1.0792080554719363,2.1132424643132475,1.958141855593479,27.47215203607222,12.626
49,42.0,0.6035147621963664,2.8404925701589927,4.706583414499442,119.30068794667767,12.626
50,44.0,0.388688494046445,2.3332014857783734,6.002754188806976,102.66086537424844,12.626
51,274.0,0.6315637802820706,7.4217949739475415,11.75145758142242,2033.5718228616265,12.626
52,156.0,0.5766309082072554,5.3510168871715535,9.279795465365977,834.7586343987624,12.626
53,66.0,0.5622216565601305,3.4367727535642136,6.112843063697682,226.8270017352381,12.626
54,97.0,0.4826869083035435,3.8605011902494155,7.997940536273449,374.4686154541933,12.626
55,303.0,0.6687521596549377,8.031172916763342,12.009191747369103,2433.445393779293,12.626
56,145.0,0.43416153725602435,4.476460306855739,10.310587011340846,649.0867444940823,12.626
57,29.0,0.7211574374488623,2.580115251924476,3.577741999100486,74.8233423058098,12.626
58,63.0,0.5773424641708893,3.4026093348687882,5.893571919666798,214.36438809673362,12.626
59,35.0,0.5937842138065509,2.5720144814925363,4.331564264742265,90.02050685223878,12.626
60,15.0,0.8126292480108521,1.9697763455934043,2.4239545283596526,29.546645183901063,12.626
61,20.0,0.8691054912868814,2.352211172549075,2.7064737205447456,47.0442234509815,12.626
